iter	Passed	Remaining
0	141	141108
1	141	70753
2	142	47274
3	142	35515
4	143	28466
5	143	23765
6	143	20406
7	144	17892
8	144	15936
9	145	14366
10	145	13084
11	145	12014
12	146	11108
13	146	10332
14	147	9663
15	147	9074
16	148	8558
17	148	8099
18	148	7689
19	149	7320
20	149	6987
21	150	6680
22	150	6399
23	151	6141
24	151	5905
25	151	5686
26	152	5485
27	152	5297
28	152	5122
29	153	4960
30	153	4807
31	154	4663
32	154	4530
33	155	4407
34	155	4289
35	156	4180
36	156	4075
37	157	3975
38	157	3881
39	157	3789
40	158	3702
41	158	3620
42	159	3542
43	159	3467
44	160	3396
45	160	3328
46	160	3261
47	161	3198
48	161	3137
49	162	3079
50	162	3023
51	162	2968
52	163	2917
53	163	2867
54	164	2818
55	164	2771
56	164	2726
57	165	2685
58	165	2644
59	166	2603
60	166	2564
61	167	2527
62	167	2490
63	167	2454
64	168	2419
65	168	2385
66	168	2352
67	169	2320
68	169	2290
69	170	2260
70	170	2231
71	171	2204
72	171	2177
73	171	2149
74	172	2123
75	172	2097
76	172	2072
77	173	2048
78	173	2025
79	174	2002
80	174	1979
81	174	1957
82	175	1934
83	175	1913
84	175	1893
85	176	1878
86	177	1858
87	177	1842
88	178	1829
89	179	1811
90	179	1793
91	180	1777
92	180	1760
93	180	1744
94	181	1729
95	182	1714
96	182	1698
97	182	1682
98	183	1667
99	183	1652
100	184	1638
101	184	1624
102	184	1610
103	185	1596
104	185	1583
105	186	1569
106	186	1558
107	187	1547
108	187	1536
109	188	1524
110	188	1512
111	189	1500
112	189	1488
113	189	1476
114	190	1464
115	190	1453
116	191	1442
117	191	1431
118	191	1420
119	192	1409
120	192	1399
121	193	1390
122	193	1380
123	194	1370
124	194	1361
125	194	1351
126	195	1341
127	195	1331
128	195	1322
129	196	1313
130	196	1304
131	196	1295
132	197	1286
133	197	1278
134	198	1270
135	198	1262
136	199	1255
137	199	1246
138	200	1239
139	200	1231
140	200	1223
141	201	1215
142	201	1207
143	201	1199
144	202	1192
145	202	1184
146	202	1177
147	203	1170
148	203	1164
149	204	1157
150	204	1151
151	205	1144
152	205	1137
153	205	1131
154	206	1125
155	206	1119
156	207	1113
157	207	1107
158	208	1103
159	209	1100
160	210	1095
161	210	1090
162	211	1085
163	211	1079
164	212	1075
165	212	1069
166	213	1064
167	213	1059
168	214	1053
169	214	1048
170	215	1042
171	215	1037
172	216	1033
173	216	1027
174	216	1022
175	217	1017
176	217	1012
177	218	1007
178	218	1002
179	218	997
180	219	992
181	219	988
182	220	984
183	220	979
184	221	975
185	222	971
186	222	967
187	222	962
188	223	957
189	223	953
190	223	948
191	224	944
192	224	939
193	225	935
194	225	931
195	226	927
196	226	923
197	226	919
198	227	915
199	227	910
200	228	906
